Extracting brief (governed maze)...
Brief: 351 tokens from lyra-content-brief.md

Dispatching 453 lessons | workers=5 | dry_run=False

  [1/453] 01-math-foundations/02-vectors-matrices-operations -> done | 0.0 req/s | ETA 489.3min | fail_rate=0%
  [46/453] 04-computer-vision/18-open-vocab-clip -> done | 0.0 req/s | ETA 137.3min | fail_rate=0%
  [47/453] 04-computer-vision/13-3d-vision-nerf -> done | 0.0 req/s | ETA 139.8min | fail_rate=0%
  [48/453] 04-computer-vision/17-self-supervised-vision -> done | 0.0 req/s | ETA 138.1min | fail_rate=0%
  [49/453] 04-computer-vision/21-keypoint-pose -> done | 0.0 req/s | ETA 149.3min | fail_rate=0%
  [50/453] 04-computer-vision/22-3d-gaussian-splatting -> done | 0.0 req/s | ETA 152.1min | fail_rate=0%
  [51/453] 04-computer-vision/27-multi-object-tracking -> done | 0.0 req/s | ETA 155.3min | fail_rate=0%
  [52/453] 04-computer-vision/24-sam3-open-vocab-segmentation -> done | 0.0 req/s | ETA 152.1min | fail_rate=0%
  [53/453] 04-computer-vision/26-monocular-depth -> done | 0.0 req/s | ETA 150.9min | fail_rate=0%
  [54/453] 04-computer-vision/20-image-retrieval-metric -> done | 0.0 req/s | ETA 148.3min | fail_rate=0%
  [55/453] 04-computer-vision/28-world-models-video-diffusion -> done | 0.0 req/s | ETA 151.1min | fail_rate=0%
  [56/453] 05-nlp-foundations-to-advanced/01-text-processing -> done | 0.0 req/s | ETA 148.6min | fail_rate=0%
  [57/453] 05-nlp-foundations-to-advanced/03-word-embeddings-word2vec -> done | 0.0 req/s | ETA 151.4min | fail_rate=0%
  [58/453] 05-nlp-foundations-to-advanced/04-glove-fasttext-subword -> done | 0.0 req/s | ETA 149.6min | fail_rate=0%
  [59/453] 05-nlp-foundations-to-advanced/05-sentiment-analysis -> done | 0.0 req/s | ETA 151.5min | fail_rate=0%
  [60/453] 05-nlp-foundations-to-advanced/02-bag-of-words-tfidf -> done | 0.0 req/s | ETA 150.2min | fail_rate=0%
  [61/453] 05-nlp-foundations-to-advanced/09-sequence-to-sequence -> done | 0.0 req/s | ETA 149.5min | fail_rate=0%
  [62/453] 05-nlp-foundations-to-advanced/10-attention-mechanism -> done | 0.0 req/s | ETA 147.9min | fail_rate=0%
  [63/453] 05-nlp-foundations-to-advanced/12-text-summarization -> done | 0.0 req/s | ETA 148.8min | fail_rate=0%
  [64/453] 05-nlp-foundations-to-advanced/07-pos-tagging-parsing -> done | 0.0 req/s | ETA 148.8min | fail_rate=0%
  [65/453] 05-nlp-foundations-to-advanced/13-question-answering -> done | 0.0 req/s | ETA 148.4min | fail_rate=0%
  [66/453] 05-nlp-foundations-to-advanced/16-text-generation-pre-transformer -> done | 0.0 req/s | ETA 146.0min | fail_rate=0%
  [67/453] 05-nlp-foundations-to-advanced/14-information-retrieval-search -> done | 0.0 req/s | ETA 143.6min | fail_rate=0%
  [68/453] 05-nlp-foundations-to-advanced/19-subword-tokenization -> done | 0.0 req/s | ETA 147.9min | fail_rate=0%
  [69/453] 05-nlp-foundations-to-advanced/21-nli-textual-entailment -> done | 0.0 req/s | ETA 147.5min | fail_rate=0%
  [70/453] 05-nlp-foundations-to-advanced/23-chunking-strategies-rag -> done | 0.0 req/s | ETA 146.5min | fail_rate=0%
  [71/453] 05-nlp-foundations-to-advanced/18-multilingual-nlp -> done | 0.0 req/s | ETA 146.4min | fail_rate=0%
  [72/453] 05-nlp-foundations-to-advanced/24-coreference-resolution -> done | 0.0 req/s | ETA 147.4min | fail_rate=0%
  [73/453] 05-nlp-foundations-to-advanced/27-llm-evaluation-frameworks -> done | 0.0 req/s | ETA 147.0min | fail_rate=0%
  [74/453] 05-nlp-foundations-to-advanced/22-embedding-models-deep-dive -> done | 0.0 req/s | ETA 145.5min | fail_rate=0%
  [75/453] 05-nlp-foundations-to-advanced/28-long-context-evaluation -> done | 0.0 req/s | ETA 143.9min | fail_rate=0%
  [76/453] 06-speech-and-audio/03-audio-classification -> done | 0.0 req/s | ETA 144.2min | fail_rate=0%
  [77/453] 06-speech-and-audio/04-speech-recognition-asr -> done | 0.0 req/s | ETA 145.2min | fail_rate=0%
  [78/453] 06-speech-and-audio/05-whisper-architecture-finetuning -> done | 0.0 req/s | ETA 144.1min | fail_rate=0%
  [79/453] 06-speech-and-audio/07-text-to-speech -> done | 0.0 req/s | ETA 143.2min | fail_rate=0%
  [80/453] 06-speech-and-audio/08-voice-cloning-conversion -> done | 0.0 req/s | ETA 142.2min | fail_rate=0%
  [81/453] 06-speech-and-audio/12-voice-assistant-pipeline -> done | 0.0 req/s | ETA 143.0min | fail_rate=0%
  [82/453] 06-speech-and-audio/11-real-time-audio-processing -> done | 0.0 req/s | ETA 142.3min | fail_rate=0%
  [83/453] 06-speech-and-audio/06-speaker-recognition-verification -> done | 0.0 req/s | ETA 142.6min | fail_rate=0%
  [84/453] 06-speech-and-audio/14-voice-activity-detection-turn-taking -> done | 0.0 req/s | ETA 140.8min | fail_rate=0%
  [85/453] 06-speech-and-audio/15-streaming-speech-to-speech-moshi-hibiki -> done | 0.0 req/s | ETA 138.9min | fail_rate=0%
  [86/453] 06-speech-and-audio/17-audio-evaluation-metrics -> done | 0.0 req/s | ETA 140.3min | fail_rate=0%
  [87/453] 07-transformers-deep-dive/03-multi-head-attention -> done | 0.0 req/s | ETA 139.2min | fail_rate=0%
  [88/453] 07-transformers-deep-dive/02-self-attention-from-scratch -> done | 0.0 req/s | ETA 139.1min | fail_rate=0%
  [89/453] 07-transformers-deep-dive/04-positional-encoding -> done | 0.0 req/s | ETA 137.7min | fail_rate=0%
  [90/453] 07-transformers-deep-dive/05-full-transformer -> done | 0.0 req/s | ETA 138.9min | fail_rate=0%
  [91/453] 07-transformers-deep-dive/01-why-transformers -> done | 0.0 req/s | ETA 137.2min | fail_rate=0%
  [92/453] 07-transformers-deep-dive/06-bert-masked-language-modeling -> done | 0.0 req/s | ETA 137.1min | fail_rate=0%
  [93/453] 07-transformers-deep-dive/09-vision-transformers -> done | 0.0 req/s | ETA 136.3min | fail_rate=0%
  [94/453] 07-transformers-deep-dive/10-audio-transformers-whisper -> done | 0.0 req/s | ETA 135.6min | fail_rate=0%
  [95/453] 07-transformers-deep-dive/12-kv-cache-flash-attention -> done | 0.0 req/s | ETA 136.0min | fail_rate=0%
  [96/453] 07-transformers-deep-dive/13-scaling-laws -> done | 0.0 req/s | ETA 134.6min | fail_rate=0%
  [97/453] 07-transformers-deep-dive/15-attention-variants -> done | 0.0 req/s | ETA 135.0min | fail_rate=0%
  [98/453] 07-transformers-deep-dive/16-speculative-decoding -> done | 0.0 req/s | ETA 133.7min | fail_rate=0%
  [99/453] 08-generative-ai/02-autoencoders-vae -> done | 0.0 req/s | ETA 135.1min | fail_rate=0%
  [100/453] 08-generative-ai/01-generative-models-taxonomy-history -> done | 0.0 req/s | ETA 133.8min | fail_rate=0%
  [101/453] 08-generative-ai/04-conditional-gans-pix2pix -> done | 0.0 req/s | ETA 132.7min | fail_rate=0%
  [102/453] 07-transformers-deep-dive/14-build-a-transformer-capstone -> done | 0.0 req/s | ETA 131.3min | fail_rate=0%
  [103/453] 08-generative-ai/03-gans-generator-discriminator -> done | 0.0 req/s | ETA 130.4min | fail_rate=0%
  [104/453] 08-generative-ai/05-stylegan -> done | 0.0 req/s | ETA 131.1min | fail_rate=0%
  [105/453] 08-generative-ai/06-diffusion-ddpm-from-scratch -> done | 0.0 req/s | ETA 131.4min | fail_rate=0%
  [106/453] 08-generative-ai/08-controlnet-lora-conditioning -> done | 0.0 req/s | ETA 130.2min | fail_rate=0%
  [107/453] 08-generative-ai/07-latent-diffusion-stable-diffusion -> done | 0.0 req/s | ETA 128.9min | fail_rate=0%
  [108/453] 08-generative-ai/10-video-generation -> done | 0.0 req/s | ETA 128.2min | fail_rate=0%
  [109/453] 08-generative-ai/09-inpainting-outpainting-editing -> done | 0.0 req/s | ETA 126.9min | fail_rate=0%
  [110/453] 08-generative-ai/12-3d-generation -> done | 0.0 req/s | ETA 129.5min | fail_rate=0%
  [111/453] 08-generative-ai/14-evaluation-fid-clip-score -> done | 0.0 req/s | ETA 129.1min | fail_rate=0%
  [112/453] 08-generative-ai/11-audio-generation -> done | 0.0 req/s | ETA 131.8min | fail_rate=0%
  [113/453] 09-reinforcement-learning/02-dynamic-programming -> done | 0.0 req/s | ETA 131.0min | fail_rate=0%
  [114/453] 08-generative-ai/19-visual-autoregressive-var -> done | 0.0 req/s | ETA 134.9min | fail_rate=0%
  [115/453] 09-reinforcement-learning/03-monte-carlo-methods -> done | 0.0 req/s | ETA 135.9min | fail_rate=0%
  [116/453] 08-generative-ai/13-flow-matching-rectified-flows -> done | 0.0 req/s | ETA 136.5min | fail_rate=0%
  [117/453] 09-reinforcement-learning/05-dqn -> done | 0.0 req/s | ETA 135.1min | fail_rate=0%
  [FAIL] 09-reinforcement-learning/01-mdps-states-actions-rewards: Output too short (0 chars)
  [118/453] 09-reinforcement-learning/01-mdps-states-actions-rewards -> failed | 0.0 req/s | ETA 135.4min | fail_rate=10%
  [119/453] 09-reinforcement-learning/06-policy-gradients-reinforce -> done | 0.0 req/s | ETA 134.9min | fail_rate=10%
  [120/453] 09-reinforcement-learning/07-actor-critic-a2c-a3c -> done | 0.0 req/s | ETA 133.8min | fail_rate=10%
  [121/453] 09-reinforcement-learning/08-ppo -> done | 0.0 req/s | ETA 132.4min | fail_rate=10%
  [122/453] 09-reinforcement-learning/09-reward-modeling-rlhf -> done | 0.0 req/s | ETA 133.4min | fail_rate=10%
  [123/453] 09-reinforcement-learning/10-multi-agent-rl -> done | 0.0 req/s | ETA 133.4min | fail_rate=10%
  [124/453] 09-reinforcement-learning/11-sim-to-real-transfer -> done | 0.0 req/s | ETA 132.2min | fail_rate=10%
  [125/453] 09-reinforcement-learning/04-q-learning-sarsa -> done | 0.0 req/s | ETA 131.6min | fail_rate=10%
  [126/453] 10-llms-from-scratch/01-tokenizers -> done | 0.0 req/s | ETA 131.7min | fail_rate=10%
  [127/453] 10-llms-from-scratch/04-pre-training-mini-gpt -> done | 0.0 req/s | ETA 133.2min | fail_rate=10%
  [128/453] 10-llms-from-scratch/05-scaling-distributed -> done | 0.0 req/s | ETA 132.5min | fail_rate=0%
  [129/453] 10-llms-from-scratch/02-building-a-tokenizer -> done | 0.0 req/s | ETA 133.4min | fail_rate=0%
  [130/453] 10-llms-from-scratch/03-data-pipelines -> done | 0.0 req/s | ETA 132.4min | fail_rate=0%
  [131/453] 09-reinforcement-learning/12-rl-for-games -> done | 0.0 req/s | ETA 134.1min | fail_rate=0%
  [132/453] 10-llms-from-scratch/09-constitutional-ai-self-improvement -> done | 0.0 req/s | ETA 133.1min | fail_rate=0%
  [133/453] 10-llms-from-scratch/10-evaluation -> done | 0.0 req/s | ETA 135.2min | fail_rate=0%
  [134/453] 10-llms-from-scratch/08-dpo -> done | 0.0 req/s | ETA 134.7min | fail_rate=0%
  [135/453] 10-llms-from-scratch/11-quantization -> done | 0.0 req/s | ETA 133.4min | fail_rate=0%
  [136/453] 10-llms-from-scratch/07-rlhf -> done | 0.0 req/s | ETA 132.5min | fail_rate=0%
  [137/453] 10-llms-from-scratch/13-building-complete-llm-pipeline -> done | 0.0 req/s | ETA 134.2min | fail_rate=0%
  [138/453] 10-llms-from-scratch/14-open-models-architecture-walkthroughs -> done | 0.0 req/s | ETA 132.8min | fail_rate=0%
  [FAIL] 10-llms-from-scratch/06-instruction-tuning-sft: Output too short (0 chars)
  [139/453] 10-llms-from-scratch/06-instruction-tuning-sft -> failed | 0.0 req/s | ETA 132.9min | fail_rate=10%
  [140/453] 10-llms-from-scratch/12-inference-optimization -> done | 0.0 req/s | ETA 133.4min | fail_rate=10%
  [141/453] 10-llms-from-scratch/16-differential-attention-v2 -> done | 0.0 req/s | ETA 132.3min | fail_rate=10%
  [142/453] 10-llms-from-scratch/17-native-sparse-attention -> done | 0.0 req/s | ETA 131.4min | fail_rate=10%
  [143/453] 10-llms-from-scratch/18-multi-token-prediction -> done | 0.0 req/s | ETA 130.1min | fail_rate=10%
  [144/453] 10-llms-from-scratch/20-deepseek-v3-walkthrough -> done | 0.0 req/s | ETA 132.1min | fail_rate=10%
  [145/453] 10-llms-from-scratch/21-jamba-hybrid-ssm-transformer -> done | 0.0 req/s | ETA 131.0min | fail_rate=10%
  [146/453] 10-llms-from-scratch/22-async-hogwild-inference -> done | 0.0 req/s | ETA 129.7min | fail_rate=10%
  [147/453] 10-llms-from-scratch/19-dualpipe-parallelism -> done | 0.0 req/s | ETA 131.0min | fail_rate=10%
  [148/453] 11-llm-engineering/01-prompt-engineering -> done | 0.0 req/s | ETA 130.8min | fail_rate=10%
  [FAIL] 10-llms-from-scratch/15-speculative-decoding-eagle3: Output too short (0 chars)
  [149/453] 10-llms-from-scratch/15-speculative-decoding-eagle3 -> failed | 0.0 req/s | ETA 130.0min | fail_rate=10%
  [150/453] 11-llm-engineering/02-few-shot-cot -> done | 0.0 req/s | ETA 130.8min | fail_rate=10%
  [151/453] 11-llm-engineering/04-embeddings -> done | 0.0 req/s | ETA 130.1min | fail_rate=10%
  [152/453] 11-llm-engineering/03-structured-outputs -> done | 0.0 req/s | ETA 128.9min | fail_rate=10%
  [153/453] 11-llm-engineering/05-context-engineering -> done | 0.0 req/s | ETA 130.2min | fail_rate=10%
  [154/453] 11-llm-engineering/07-advanced-rag -> done | 0.0 req/s | ETA 129.7min | fail_rate=10%
  [155/453] 11-llm-engineering/06-rag -> done | 0.0 req/s | ETA 128.6min | fail_rate=10%
  [156/453] 11-llm-engineering/10-evaluation -> done | 0.0 req/s | ETA 129.6min | fail_rate=10%
  [157/453] 10-llms-from-scratch/25-speculative-decoding -> done | 0.0 req/s | ETA 128.4min | fail_rate=10%
  [158/453] 11-llm-engineering/09-function-calling -> done | 0.0 req/s | ETA 127.8min | fail_rate=10%
  [FAIL] 10-llms-from-scratch/34-gradient-checkpointing: Output too short (0 chars)
  [159/453] 10-llms-from-scratch/34-gradient-checkpointing -> failed | 0.0 req/s | ETA 126.7min | fail_rate=10%
  [160/453] 11-llm-engineering/11-caching-cost -> done | 0.0 req/s | ETA 126.5min | fail_rate=10%
  [161/453] 11-llm-engineering/12-guardrails -> done | 0.0 req/s | ETA 126.6min | fail_rate=10%
  [162/453] 11-llm-engineering/14-model-context-protocol -> done | 0.0 req/s | ETA 126.0min | fail_rate=10%
  [163/453] 11-llm-engineering/13-production-app -> done | 0.0 req/s | ETA 124.9min | fail_rate=10%
  [164/453] 11-llm-engineering/15-prompt-caching -> done | 0.0 req/s | ETA 124.4min | fail_rate=10%
  [165/453] 11-llm-engineering/16-langgraph-state-machines -> done | 0.0 req/s | ETA 124.9min | fail_rate=10%
  [166/453] 11-llm-engineering/08-fine-tuning-lora -> done | 0.0 req/s | ETA 123.9min | fail_rate=10%
  [167/453] 12-multimodal-ai/04-flamingo-gated-cross-attention -> done | 0.0 req/s | ETA 125.6min | fail_rate=10%
  [168/453] 12-multimodal-ai/01-vision-transformer-patch-tokens -> done | 0.0 req/s | ETA 124.8min | fail_rate=10%
  [169/453] 12-multimodal-ai/03-blip2-qformer-bridge -> done | 0.0 req/s | ETA 126.2min | fail_rate=0%
  [170/453] 12-multimodal-ai/05-llava-visual-instruction-tuning -> done | 0.0 req/s | ETA 125.4min | fail_rate=0%
  [171/453] 12-multimodal-ai/06-any-resolution-patch-n-pack -> done | 0.0 req/s | ETA 124.4min | fail_rate=0%
  [172/453] 11-llm-engineering/17-agent-framework-tradeoffs -> done | 0.0 req/s | ETA 123.4min | fail_rate=0%
  [173/453] 12-multimodal-ai/02-clip-contrastive-pretraining -> done | 0.0 req/s | ETA 123.0min | fail_rate=0%
  [174/453] 12-multimodal-ai/07-open-weight-vlm-recipes -> done | 0.0 req/s | ETA 123.1min | fail_rate=0%
  [175/453] 12-multimodal-ai/10-internvl3-native-multimodal -> done | 0.0 req/s | ETA 122.7min | fail_rate=0%
  [176/453] 12-multimodal-ai/09-qwen-vl-family-dynamic-fps -> done | 0.0 req/s | ETA 121.7min | fail_rate=0%
  [177/453] 12-multimodal-ai/08-llava-onevision-single-multi-video -> done | 0.0 req/s | ETA 120.6min | fail_rate=0%
  [178/453] 12-multimodal-ai/11-chameleon-early-fusion-tokens -> done | 0.0 req/s | ETA 120.2min | fail_rate=0%
  [179/453] 12-multimodal-ai/12-emu3-next-token-for-generation -> done | 0.0 req/s | ETA 120.4min | fail_rate=0%
  [180/453] 12-multimodal-ai/14-show-o-discrete-diffusion-unified -> done | 0.0 req/s | ETA 120.0min | fail_rate=0%
  [181/453] 12-multimodal-ai/15-janus-pro-decoupled-encoders -> done | 0.0 req/s | ETA 118.9min | fail_rate=0%
  [182/453] 12-multimodal-ai/16-mio-any-to-any-streaming -> done | 0.0 req/s | ETA 118.3min | fail_rate=0%
  [183/453] 12-multimodal-ai/13-transfusion-autoregressive-diffusion -> done | 0.0 req/s | ETA 118.7min | fail_rate=0%
  [184/453] 12-multimodal-ai/17-video-language-temporal-grounding -> done | 0.0 req/s | ETA 117.7min | fail_rate=0%
  [185/453] 12-multimodal-ai/18-long-video-million-token -> done | 0.0 req/s | ETA 117.3min | fail_rate=0%
  [186/453] 12-multimodal-ai/19-audio-language-whisper-to-af3 -> done | 0.0 req/s | ETA 116.4min | fail_rate=0%
  [187/453] 12-multimodal-ai/20-omni-models-thinker-talker -> done | 0.0 req/s | ETA 115.7min | fail_rate=0%
  [188/453] 12-multimodal-ai/21-embodied-vlas-openvla-pi0-groot -> done | 0.0 req/s | ETA 115.8min | fail_rate=0%
  [189/453] 12-multimodal-ai/22-document-diagram-understanding -> done | 0.0 req/s | ETA 115.0min | fail_rate=0%
  [190/453] 12-multimodal-ai/25-multimodal-agents-computer-use -> done | 0.0 req/s | ETA 114.9min | fail_rate=0%
  [191/453] 13-tools-and-protocols/01-the-tool-interface -> done | 0.0 req/s | ETA 114.2min | fail_rate=0%
  [192/453] 13-tools-and-protocols/02-function-calling-deep-dive -> done | 0.0 req/s | ETA 113.7min | fail_rate=0%
  [193/453] 12-multimodal-ai/23-colpali-vision-native-rag -> done | 0.0 req/s | ETA 114.1min | fail_rate=0%
  [194/453] 13-tools-and-protocols/04-structured-output -> done | 0.0 req/s | ETA 113.1min | fail_rate=0%
  [195/453] 12-multimodal-ai/24-multimodal-rag-cross-modal -> done | 0.0 req/s | ETA 112.2min | fail_rate=0%
  [196/453] 13-tools-and-protocols/03-parallel-and-streaming-tool-calls -> done | 0.0 req/s | ETA 111.2min | fail_rate=0%
  [197/453] 13-tools-and-protocols/05-tool-schema-design -> done | 0.0 req/s | ETA 110.8min | fail_rate=0%
  [198/453] 13-tools-and-protocols/06-mcp-fundamentals -> done | 0.0 req/s | ETA 110.6min | fail_rate=0%
  [199/453] 13-tools-and-protocols/08-building-an-mcp-client -> done | 0.0 req/s | ETA 110.0min | fail_rate=0%
  [200/453] 13-tools-and-protocols/09-mcp-transports -> done | 0.0 req/s | ETA 109.4min | fail_rate=0%
  [201/453] 13-tools-and-protocols/10-mcp-resources-and-prompts -> done | 0.0 req/s | ETA 108.8min | fail_rate=0%
  [202/453] 13-tools-and-protocols/07-building-an-mcp-server -> done | 0.0 req/s | ETA 109.2min | fail_rate=0%
  [203/453] 13-tools-and-protocols/12-mcp-roots-and-elicitation -> done | 0.0 req/s | ETA 108.4min | fail_rate=0%
  [204/453] 13-tools-and-protocols/14-mcp-apps -> done | 0.0 req/s | ETA 107.5min | fail_rate=0%
  [205/453] 13-tools-and-protocols/11-mcp-sampling -> done | 0.0 req/s | ETA 107.8min | fail_rate=0%
  [206/453] 13-tools-and-protocols/15-mcp-security-tool-poisoning -> done | 0.0 req/s | ETA 107.2min | fail_rate=0%
  [207/453] 13-tools-and-protocols/16-mcp-security-oauth-2-1 -> done | 0.0 req/s | ETA 106.6min | fail_rate=0%
  [208/453] 13-tools-and-protocols/13-mcp-async-tasks -> done | 0.0 req/s | ETA 105.9min | fail_rate=0%
  [209/453] 13-tools-and-protocols/19-a2a-protocol -> done | 0.0 req/s | ETA 105.9min | fail_rate=0%
  [210/453] 13-tools-and-protocols/18-mcp-auth-production -> done | 0.0 req/s | ETA 105.0min | fail_rate=0%
  [211/453] 13-tools-and-protocols/20-opentelemetry-genai -> done | 0.0 req/s | ETA 104.2min | fail_rate=0%
  [212/453] 13-tools-and-protocols/17-mcp-gateways-and-registries -> done | 0.0 req/s | ETA 103.6min | fail_rate=0%
  [213/453] 13-tools-and-protocols/21-llm-routing-layer -> done | 0.0 req/s | ETA 103.1min | fail_rate=0%
  [214/453] 13-tools-and-protocols/22-skills-and-agent-sdks -> done | 0.0 req/s | ETA 103.1min | fail_rate=0%
  [215/453] 13-tools-and-protocols/23-capstone-tool-ecosystem -> done | 0.0 req/s | ETA 102.2min | fail_rate=0%
  [216/453] 14-agent-engineering/01-the-agent-loop -> done | 0.0 req/s | ETA 101.5min | fail_rate=0%
  [217/453] 14-agent-engineering/03-reflexion-verbal-rl -> done | 0.0 req/s | ETA 100.7min | fail_rate=0%
  [218/453] 14-agent-engineering/07-memory-virtual-context-memgpt -> done | 0.0 req/s | ETA 101.3min | fail_rate=0%
  [219/453] 14-agent-engineering/06-tool-use-and-function-calling -> done | 0.0 req/s | ETA 100.6min | fail_rate=0%
  [220/453] 14-agent-engineering/02-rewoo-plan-and-execute -> done | 0.0 req/s | ETA 100.0min | fail_rate=0%
  [221/453] 14-agent-engineering/09-hybrid-memory-mem0 -> done | 0.0 req/s | ETA 100.4min | fail_rate=0%
  [222/453] 14-agent-engineering/08-memory-blocks-sleep-time-compute -> done | 0.0 req/s | ETA 99.5min | fail_rate=0%
  [223/453] 14-agent-engineering/05-self-refine-and-critic -> done | 0.0 req/s | ETA 99.1min | fail_rate=0%
  [224/453] 14-agent-engineering/11-planning-htn-and-evolutionary -> done | 0.0 req/s | ETA 99.4min | fail_rate=0%
  [225/453] 14-agent-engineering/12-anthropic-workflow-patterns -> done | 0.0 req/s | ETA 98.7min | fail_rate=0%
  [226/453] 14-agent-engineering/13-langgraph-stateful-graphs -> done | 0.0 req/s | ETA 98.1min | fail_rate=0%
  [FAIL] 14-agent-engineering/04-tree-of-thoughts-lats: Output too short (0 chars)
  [227/453] 14-agent-engineering/04-tree-of-thoughts-lats -> failed | 0.0 req/s | ETA 98.1min | fail_rate=10%
  [228/453] 14-agent-engineering/14-autogen-actor-model -> done | 0.0 req/s | ETA 97.4min | fail_rate=10%
  [229/453] 14-agent-engineering/15-crewai-role-based-crews -> done | 0.0 req/s | ETA 96.8min | fail_rate=10%
